Accession ID	Collection date	Submission date	Location
EPI_ISL_1038821	2021-01-28	2021-02-20	North America / USA / Maryland / MDH
EPI_ISL_1087562	2021-02-01	2021-02-26	North America / USA / Florida
EPI_ISL_1088626	2021-02-07	2021-02-26	North America / USA / Georgia
EPI_ISL_1098160	2021-02-17	2021-03-01	North America / USA / New York / New York City
EPI_ISL_1111127	2021-01-18	2021-03-01	South America / Peru / Callao
EPI_ISL_1111128	2021-01-18	2021-03-01	South America / Peru / Callao
EPI_ISL_1111130	2021-01-17	2021-03-01	South America / Peru / Callao
EPI_ISL_1111284	2021-01-18	2021-03-01	South America / Peru / Lima
EPI_ISL_1111285	2021-01-18	2021-03-01	South America / Peru / Lima
EPI_ISL_1111291	2021-01-18	2021-03-01	South America / Peru / Lima
EPI_ISL_1111295	2021-01-18	2021-03-01	South America / Peru / Lima
EPI_ISL_1111296	2021-01-18	2021-03-01	South America / Peru / Lima
EPI_ISL_1111302	2021-01-18	2021-03-01	South America / Peru / Lima
EPI_ISL_1111316	2021-01-17	2021-03-01	South America / Peru / Lima
EPI_ISL_1111317	2021-01-17	2021-03-01	South America / Peru / Lima
EPI_ISL_1111318	2021-01-17	2021-03-01	South America / Peru / Lima
EPI_ISL_1111319	2021-01-17	2021-03-01	South America / Peru / Lima
EPI_ISL_1111321	2021-01-17	2021-03-01	South America / Peru / Lima
EPI_ISL_1111322	2021-01-17	2021-03-01	South America / Peru / Lima
EPI_ISL_1111328	2021-01-17	2021-03-01	South America / Peru / Lima
EPI_ISL_1111331	2021-01-17	2021-03-01	South America / Peru / Lima
EPI_ISL_1111332	2021-01-17	2021-03-01	South America / Peru / Lima
EPI_ISL_1111334	2021-01-17	2021-03-01	South America / Peru / Lima
EPI_ISL_1111335	2021-01-17	2021-03-01	South America / Peru / Lima
EPI_ISL_1111341	2021-01-17	2021-03-01	South America / Peru / Lima
EPI_ISL_1138413	2021-01-12	2021-03-04	South America / Peru / Lima
EPI_ISL_1138416	2021-01-12	2021-03-04	South America / Peru / Lima
EPI_ISL_1138418	2021-01-12	2021-03-04	South America / Peru / Lima
EPI_ISL_1139522	2021-02-15	2021-03-04	North America / USA / Florida
EPI_ISL_1153422	2021-02-01	2021-03-04	Europe / Germany / Berlin
EPI_ISL_1154883	2021-02-10	2021-03-04	Europe / Germany / Berlin
EPI_ISL_1155516	2021-02-01	2021-03-04	Europe / Germany / Berlin
EPI_ISL_1159264	2021-02-17	2021-03-04	North America / USA / Florida
EPI_ISL_1159302	2021-02-17	2021-03-04	North America / USA / Florida
EPI_ISL_1160917	2021-02-17	2021-03-05	North America / USA / North Carolina
